iter	Logloss
168	0.3346243312
169	0.3344242635
170	0.334190091
171	0.3337370562
172	0.3332256679
173	0.3327101747
174	0.3316964323
175	0.3307243596
176	0.3304478683
177	0.330187733
178	0.3299178387
179	0.3296898019
180	0.3295354271
181	0.3293441608
182	0.328980198
183	0.3288109485
184	0.3283070128
185	0.327947469
186	0.3268199771
187	0.3266316938
188	0.3262450254
189	0.3256354501
190	0.3252528016
191	0.3249369076
192	0.3246954705
193	0.3231751002
194	0.3227573025
195	0.3225055866
196	0.3221002755
197	0.3218794382
198	0.3213733693
199	0.3211130887
200	0.3207578481
201	0.3199583338
202	0.319807809
203	0.3195429481
204	0.3189053978
205	0.3186597085
206	0.318391283
207	0.3182531273
208	0.3178893465
209	0.317585128
210	0.3173884202
211	0.3169768225
212	0.3162095951
213	0.3155628037
214	0.3153021962
215	0.3149562472
216	0.3144237593
217	0.3136290221
218	0.3129774447
219	0.3127835621
220	0.3125991638
221	0.3124009624
222	0.3122065097
223	0.3117951023
224	0.3114683955
225	0.3112802734
226	0.3111283595
227	0.3109538143
228	0.3105984591
229	0.3104609584
230	0.3098239685
231	0.3094254844
232	0.3092781544
233	0.3089200405
234	0.3087144969
235	0.3076744373
236	0.3073694498
237	0.3070744822
238	0.3068998566
239	0.3061854221
240	0.3047100944
241	0.3045216302
242	0.3041027539
243	0.3039070194
244	0.3037236782
245	0.3035736386
246	0.3030668662
247	0.3026041689
248	0.3023621281
249	0.301941105
250	0.3015170721
251	0.3013321098
252	0.3002425125
253	0.3001445966
254	0.299943163
255	0.2997710897
256	0.2992182136
257	0.2988988205
258	0.2986282483
259	0.2984477594
260	0.2982828241
261	0.2980935714
262	0.2977113681
263	0.2971816128
264	0.2968008416
265	0.2959763988
266	0.2958096208
267	0.2954128713
268	0.295237479
269	0.2950227572
270	0.2947776014
271	0.2941396111
272	0.2940193233
273	0.2935280865
274	0.2933736666
275	0.2931989195
276	0.293037627
277	0.2928481003
278	0.2922369339
279	0.2920199934
280	0.2918065881
281	0.2916399312
282	0.290419308
283	0.2904074088
284	0.2901266647
285	0.2899132155
286	0.289722701
287	0.2890737277
288	0.288890266
289	0.2884927492
290	0.287697274
291	0.2875476412
292	0.287243215
293	0.2870035997
294	0.2860416162
295	0.2855046436
296	0.2847028659
297	0.2845183735
298	0.2843582081
299	0.2841075481
300	0.2839178373
301	0.2837506755
302	0.2836293147
303	0.283145628
304	0.2830254547
305	0.2828800319
306	0.2824294067
307	0.2815776064
308	0.2813424219
309	0.280848455
310	0.2803537639
311	0.2800608886
312	0.2797569753
313	0.2794775873
314	0.2793180115
315	0.279133374
316	0.2788544474
317	0.2781164241
318	0.2779509699
319	0.2775859269
320	0.2771429114
321	0.2769307992
322	0.2768287019
323	0.2767367066
324	0.2761746714
325	0.2757582498
326	0.2755739648
327	0.2749647009
328	0.2746990639
329	0.2744799824
330	0.2736678182
331	0.2728318159
332	0.2726108939
333	0.2723359402
334	0.2720019221
335	0.271510762
336	0.2710616339
337	0.2706041254
338	0.2704676069
339	0.2700354379
340	0.2694853606
341	0.2693294176
342	0.2688306928
343	0.2686505058
344	0.2681251373
345	0.2680135393
346	0.2675483526
347	0.2673250483
348	0.2665746383
349	0.2662604112
350	0.2660113999
351	0.2654461801
352	0.2653169792
353	0.264768842
354	0.2645081399
355	0.2641419121
356	0.2639801665
357	0.2636091817
358	0.2633542467
359	0.2631453326
360	0.2630047165
361	0.2628480397
362	0.262562482
363	0.2623748776
364	0.2620945421
365	0.2616196347
366	0.2614496396
367	0.2608777817
368	0.2607035596
369	0.260408457
370	0.2602256009
371	0.2601281344
372	0.2597098101
373	0.2595915884
374	0.2592634771
375	0.2590087477
376	0.2588620993
377	0.258390469
378	0.2582133989
379	0.2580151282
380	0.2577764884
381	0.2574071366
382	0.2569869631
383	0.2566388535
384	0.2561721816
385	0.2559606022
386	0.2555996887
387	0.2553875556
388	0.2546551571
389	0.2544731681
390	0.2542326398
391	0.2541065555
392	0.2533635001
393	0.253173836
394	0.2529908581
395	0.2526257264
396	0.2525028691
397	0.2523149518
398	0.2521496907
399	0.2519925992
400	0.2517912537
401	0.2516200315
402	0.251412568
403	0.2511677782
404	0.251073822
405	0.2510089704
406	0.250798795
407	0.2507245993
408	0.2502754939
409	0.2498500959
410	0.2495770084
411	0.249410187
412	0.2490302599
413	0.248809657
414	0.2486441189
415	0.2482179632
416	0.2480596214
417	0.247895739
418	0.2477893434
419	0.2475698202
420	0.2473803832
421	0.2471620927
422	0.2468722026
423	0.2464962635
424	0.2463591842
425	0.2462639923
426	0.2456611086
427	0.245566375
428	0.2452311698
429	0.2450708951
430	0.2449508727
431	0.2446562766
432	0.2442619087
433	0.2440672321
434	0.2439051284
435	0.2437906125
436	0.2436394685
437	0.2433899827
438	0.2432421128
439	0.243001824
440	0.2428048265
441	0.2424991246
442	0.2423449358
443	0.2422191833
444	0.2419504818
445	0.241662995
446	0.2414705367
447	0.2413120442
448	0.2411371385
449	0.2408445352
450	0.2405292515
451	0.2403702172
452	0.2402244987
453	0.2400051442
454	0.2396456603
455	0.2393666741
456	0.2392624413
457	0.2390090799
458	0.2387764045
459	0.2385936148
460	0.2384551416
461	0.2383756994
462	0.2380527918
463	0.2378926003
464	0.2377350066
465	0.237611247
466	0.2374579792
467	0.237351548
468	0.2372340237
469	0.2370606108
470	0.2369054952
471	0.2367908502
472	0.236684285
473	0.2365528707
474	0.2364942973
475	0.2363727402
476	0.2361124821
477	0.2360542763
478	0.2359179984
479	0.2358118635
480	0.2356671216
481	0.2355496845
482	0.2354115121
483	0.2352699466
484	0.2351933778
485	0.2350397893
486	0.2348897904
487	0.2347939962
488	0.2346430256
489	0.2345302134
490	0.2344240405
491	0.2343583831
492	0.2342680348
493	0.2341648684
494	0.2340258561
495	0.2338848719
496	0.2334805094
497	0.233200615
498	0.2329645464
499	0.2328771432
500	0.2326097888
501	0.2324801787
502	0.2321679558
503	0.2318119171
504	0.2317423212
505	0.2315874894
506	0.2312899637
507	0.2311821513
508	0.2310310268
509	0.2308982611
510	0.2307702308
511	0.2306712521
512	0.2304368124
513	0.2302457625
514	0.2301248795
515	0.2299001902
516	0.2296595579
517	0.2294852742
518	0.2293899958
519	0.2292959372
520	0.2289215778
521	0.2286583574
522	0.2284560193
523	0.2281676061
524	0.228042815
525	0.2278572511
526	0.2277466821
527	0.2276327732
528	0.2275392875
529	0.227217741
530	0.2270592848
531	0.2269297406
532	0.2268407363
533	0.2267437037
534	0.2266449735
535	0.2265418552
536	0.2264184103
537	0.226306847
538	0.2261899196
539	0.2261019673
540	0.225997367
541	0.2258974252
542	0.2257606726
543	0.2255990445
544	0.2254907917
545	0.2252907856
546	0.2251909009
547	0.2250890362
548	0.2249342756
549	0.2247260548
550	0.2245953372
551	0.2245058623
552	0.2243211641
553	0.2242495332
554	0.2240885956
555	0.2239800346
556	0.2238080064
557	0.2236467182
558	0.223577147
559	0.2234410385
560	0.2233543269
561	0.2232093563
562	0.2231199697
563	0.2229759403
564	0.2228377244
565	0.2227441917
566	0.2225355318
567	0.2224111522
568	0.2222977396
569	0.2222154933
570	0.2220951989
571	0.2219335927
572	0.2218523807
573	0.2217335665
574	0.221656872
575	0.2214859998
576	0.2214101761
577	0.2212720009
578	0.221118814
579	0.2210162337
580	0.2209268049
581	0.2203354327
582	0.2202706711
583	0.2200071237
584	0.2196088929
585	0.2194397794
586	0.2193325884
587	0.2192441886
588	0.2191403275
589	0.2190756862
590	0.2189183635
591	0.218824146
592	0.2186065416
593	0.2183638227
594	0.2183022785
595	0.2181181609
596	0.2180187985
597	0.2179110685
598	0.2178696738
599	0.2178178189
600	0.2175815436
601	0.2174404308
602	0.2173562569
603	0.2172096636
604	0.2170955444
605	0.2170269938
606	0.2169521428
607	0.2168960579
608	0.2167352078
609	0.216623468
610	0.2164799261
611	0.2162720471
612	0.2162069257
613	0.2160969857
614	0.2160212475
615	0.2158795645
616	0.2157742314
617	0.2156686843
618	0.2155543771
619	0.2154802923
620	0.2150970701
621	0.2150347047
622	0.2149679543
623	0.2146976049
624	0.2145181505
625	0.2144236102
626	0.2142450806
627	0.214148554
628	0.2139111541
629	0.2137926535
630	0.2136727583
631	0.2134272586
632	0.2133668736
633	0.213226248
634	0.2131051199
635	0.2130169654
636	0.2128963571
637	0.2127921017
638	0.2126713161
639	0.2123749079
640	0.2122889519
641	0.2121991763
642	0.2121352692
643	0.2120231558
644	0.2119566593
645	0.211850292
646	0.2117102711
647	0.2116028426
648	0.2114864711
649	0.2114358901
650	0.2112723107
651	0.2112049705
652	0.2111477195
653	0.2110946927
654	0.211007957
655	0.2109257836
656	0.2108575132
657	0.2107628106
658	0.2106739807
659	0.2105386772
660	0.2104347954
661	0.2101236972
662	0.2099270157
663	0.2097935541
664	0.209620206
665	0.2095094632
666	0.2090863864
667	0.2089871283
668	0.2088915489
669	0.2087550492
670	0.2086088172
671	0.2085135237
672	0.208445173
673	0.2083398426
674	0.2082221078
675	0.2081391541
676	0.2080390033
677	0.2079787353
678	0.2079026996
679	0.2078349989
680	0.2077507335
681	0.2076138344
682	0.2075172126
683	0.2074350423
684	0.2073348649
685	0.2072009004
686	0.2070575798
687	0.2069896516
688	0.206872236
689	0.2067747994
690	0.2066108163
691	0.2065190268
692	0.2064429113
693	0.2063380175
694	0.2062404653
695	0.2061624264
696	0.2060903386
697	0.2060335759
698	0.2059094987
699	0.2057966856
700	0.2056622878
701	0.2055137669
702	0.2054675705
703	0.2054369627
704	0.2053571359
705	0.2052933319
706	0.2051610141
707	0.2050656932
708	0.2049923398
709	0.2049193848
710	0.2047961146
711	0.204704387
712	0.2046185235
713	0.20453366
714	0.2044444034
715	0.2041935291
716	0.2040948733
717	0.2040015133
718	0.2038919903
719	0.2037939026
720	0.2037102828
721	0.2036022557
722	0.2035202362
723	0.2034373119
724	0.203284191
725	0.203190905
726	0.2031253968
727	0.2029888072
728	0.2029193928
729	0.2028147361
730	0.2027631938
731	0.2026754138
732	0.2025858004
733	0.2024885287
734	0.2021439125
735	0.2020711553
736	0.2019573862
737	0.2018813455
738	0.201805849
739	0.2017035681
740	0.2016159333
741	0.2015195099
742	0.2014186433
743	0.2013419464
744	0.2012657837
745	0.2011896534
746	0.2011156369
747	0.2009852041
748	0.2009479577
749	0.2007902501
750	0.2007294738
751	0.2005151974
752	0.2004204441
753	0.2003537885
754	0.2002639183
755	0.2001343989
756	0.2000900124
757	0.200046249
758	0.1999158955
759	0.1998731388
760	0.1998131311
761	0.1997656488
762	0.1996511217
763	0.1995950569
764	0.1994730982
765	0.1993913551
766	0.1992788865
767	0.1991910527
768	0.1991746535
769	0.199106066
770	0.1990333102
771	0.1989127975
772	0.1987625755
773	0.1986955048
774	0.1985804834
775	0.1985168983
776	0.1984766479
777	0.1983501862
778	0.1982420547
779	0.1981958072
780	0.198110963
781	0.1980610239
782	0.1980566014
783	0.1978901285
784	0.1978126161
785	0.1977509615
786	0.1976434881
787	0.1975857529
788	0.19747136
789	0.1973562029
790	0.1973035825
791	0.1971733864
792	0.1971698833
793	0.1971149034
794	0.1969635836
795	0.1969036785
796	0.1968319045
797	0.1967486387
798	0.1966799915
799	0.1965698978
800	0.1965053057
801	0.1964188988
802	0.1963508771
803	0.1962696602
804	0.1962025064
805	0.1961357358
806	0.196082468
807	0.1959079221
808	0.1958715806
809	0.1958241411
810	0.1957578547
811	0.1956680292
812	0.1955823424
813	0.1954971099
814	0.1953402554
815	0.1952665601
816	0.1952330089
817	0.1950731233
818	0.195010507
819	0.1949413004
820	0.1948625555
821	0.1948086044
822	0.1946881712
823	0.1946446032
824	0.1945153771
825	0.1944712697
826	0.1943129651
827	0.1942340736
828	0.1941200348
829	0.1940232906
830	0.1939016387
831	0.193824949
832	0.1937507997
833	0.1936587401
834	0.1935770636
835	0.1935263586
836	0.1934162525
837	0.193327981
838	0.1932750232
839	0.1932131003
840	0.1931520227
841	0.1930795799
842	0.1929917852
843	0.1929019779
844	0.1928394319
845	0.1927887018
846	0.192725526
847	0.1925829314
848	0.1925418509
849	0.1924845949
850	0.1923227638
851	0.1922646223
852	0.1921917837
853	0.1921034185
854	0.1919901718
855	0.1919314844
856	0.1918303344
857	0.1917454412
858	0.1916560328
859	0.1915899255
860	0.191486614
861	0.1913908774
862	0.1912936178
863	0.1912290666
864	0.1911238538
865	0.1910775161
866	0.1909793646
867	0.1908941873
868	0.1907962568
869	0.1907071811
870	0.1906597288
871	0.1905885235
872	0.1904980168
873	0.1903902244
874	0.1903270092
875	0.1902643272
876	0.1902064073
877	0.1901242266
878	0.1900741384
879	0.1900150035
880	0.1899343757
881	0.1898147012
882	0.1897463517
883	0.1896595223
884	0.189592383
885	0.1895197395
886	0.1894740944
887	0.189411758
888	0.1893551541
889	0.189296332
890	0.18918908
891	0.1891058764
892	0.1890274471
893	0.1888893528
894	0.1888066355
895	0.1887580532
896	0.1886933873
897	0.1886380888
898	0.1885815721
899	0.1885010754
900	0.1884151125
901	0.1883636617
902	0.1882918537
903	0.1881809612
904	0.1881404913
905	0.1880264359
906	0.1879603272
907	0.1879100387
908	0.1878517318
909	0.1877197838
910	0.187631338
911	0.1875006171
912	0.1874214879
913	0.1872990325
914	0.1872276449
915	0.1871860321
916	0.1871113315
917	0.1870357725
918	0.1869859984
919	0.1869271584
920	0.1868792216
921	0.1868102114
922	0.1867719785
923	0.1867198343
924	0.1865927966
925	0.186504694
926	0.1864170277
927	0.1863318931
928	0.1862853914
929	0.1861695319
930	0.1860956805
931	0.1860090689
932	0.1859346291
933	0.185816765
934	0.1857419294
935	0.1856278204
936	0.1855700179
937	0.1855015895
938	0.1854437773
939	0.1853619051
940	0.1852938323
941	0.1852102755
942	0.1851357969
943	0.1850714581
944	0.1850154709
945	0.1849530853
946	0.1849135422
947	0.1848493221
948	0.1848335405
949	0.1847527449
950	0.1846682644
951	0.1845575178
952	0.1845051915
953	0.1844304805
954	0.1843965963
955	0.1843672149
956	0.1843044635
957	0.1842383063
958	0.1841385014
959	0.184064549
960	0.1840221773
961	0.1839699192
962	0.1838788357
963	0.1837927476
964	0.1836690906
965	0.183572146
966	0.1835079684
967	0.1834866077
968	0.1834334887
969	0.1833906935
970	0.1833290822
971	0.1832622342
972	0.1831772228
973	0.1831268637
974	0.1830851405
975	0.1829807487
976	0.1829110163
977	0.1827596114
978	0.1826834994
979	0.1826122904
980	0.1825292032
981	0.1824734536
982	0.1823833121
983	0.1822583906
984	0.1822092991
985	0.1821805427
986	0.1820943466
987	0.182039564
988	0.181983489
989	0.1819099783
990	0.1818681896
991	0.1817922143
992	0.1817373699
993	0.181710433
994	0.1816792368
995	0.1816017357
996	0.1814635923
997	0.1813434998
998	0.1812884461
999	0.1812093124
